percentage error,actual data
0.338372478,7.11E-12
0.839125478,1.91E-08
0.303876461,4.09E-06
0.303867756,4.08E-06
0.303887091,4.08E-06
0.303848255,4.08E-06
1.975925341,1.36E-06
1.975894272,1.36E-06
1.975896045,1.36E-06
1.975924237,1.36E-06
1,2.97E-07
0,1.91E-08
0.070204417,6.48E-05
0.070222601,6.48E-05
0.070232937,6.48E-05
0.070225007,6.48E-05
0.040806652,1.24E-05
0.040819553,1.24E-05
0.040820915,1.24E-05
0.040827386,1.24E-05
1.73E-16,1.91E-08
0.007964361,0.000116999
0.007948514,0.000116994
0.007932854,0.000116994
0.007917205,0.000116989
0.130644322,1.99E-05
0.130628848,1.99E-05
0.130628869,1.99E-05
0.130647312,1.99E-05
0.376828736,1.91E-08
0.010481678,1.28E-05
0.010478621,1.28E-05
0.010483517,1.28E-05
0.010464648,1.28E-05
0.069733778,4.75E-06
0.069749059,4.75E-06
0.069725269,4.75E-06
0.069737002,4.75E-06
0.452381336,3.96E-07
1,8.54E-14
1,0.000307377
0.144049144,6.60E-11
0.0515281,0.024944016
0.050700793,1.16E-05
0.144049144,4.95E-12
0.283876315,1.74E-13
0.051534062,0.001975198
1,4.22E-10
0.209151984,1
0.209151984,7.44E-15
0.835198531,0.049908916
0.53359432,8.50E-10
0,1.47E-12
0.490005063,4.04E-08
0.600952505,7.18E-13
1,1.59E-12
0.600936875,7.18E-13
1,1.55E-13
0.013945828,2.98E-06
0.59152048,2.34E-06
0.948322652,1.55E-05
0.591496408,2.34E-06
0.591512978,2.34E-06
0.986811941,0.000167426
0.591513128,2.34E-06
7.03E-06,0.366829346
0.009782805,0.008456853
0.009782805,1.35E-12
1,8.50E-10
0.980345915,1.37E-11
1,1.64E-08
1,5.13E-07
0.986309876,1.51E-11
0.232257459,0.011896331
1,0.012700137
1,0.007636158
1,1.22E-07
1,1.13E-09
0.831433621,1.76E-12
0,1.21E-12
1,0.017149511
0.097685581,8.50E-10
1.67E-16,1.21E-12
0,2.60E-13
1,0.001357971
0.001159686,4.63E-06
0.001158553,3.64E-06
0.20896154,1.07E-05
0.001159559,3.64E-06
0.001158054,3.64E-06
0.001158472,3.64E-06
0.221163297,3.63E-06
0.221190153,3.63E-06
0.221170184,3.63E-06
0.22118353,3.63E-06
1.73E-16,1.91E-08
0.059079307,0.000166016
0.059055536,0.000166008
0.059090227,0.000166016
0.662920748,6.01E-10
0.059077718,0.00016601
0,1.91E-08
0.470509241,4.61E-05
0.470518151,4.61E-05
0.470497002,4.61E-05
0.376236362,6.01E-10
0.470509415,4.61E-05
8.67E-15,0.019613286
6.32E-11,0.039183673
0.281627543,1.85E-10
1.99E-13,1.87E-12
1.45E-15,0.992950055
8.66E-15,0.001553064
0.770948662,1.91E-08
0.000309083,7.52E-05
0.000309193,7.52E-05
0.000309217,7.52E-05
0.000309207,7.52E-05
0,1.91E-08
0.037725873,0.000135294
0.037754265,0.000135295
0.037768817,0.000135298
0.03777716,0.000135294
0.004256907,2.31E-05
0.00430808,2.31E-05
0.004271721,2.31E-05
0.004284507,2.31E-05
0,1.91E-08
0.008183591,1.49E-05
0.008172136,1.49E-05
0.008164765,1.49E-05
0.008186355,1.49E-05
0.128304278,5.50E-06
0.128307585,5.50E-06
0.128310893,5.50E-06
0.128303257,5.50E-06
0.535737265,1.17E-11
0.103609417,0.000638685
0.21877056,0.03163068
0.047956861,0.171554286
0,0.011189312
1.053205816,9.61E-12
0.259423196,0.000785274
0.332154848,0.043134057
0.131224832,0.18019619
1.55E-16,0.011189312
0.263337558,6.32E-11
0.220056028,0.000186568
0.245519342,0.010280151
0.209777653,0.042674286
0,0.011189312
0.399469889,1.26E-10
0.106626031,0.000248233
0.207344306,0.012336182
0.017191403,0.066354286
0,0.011189312
0.218455909,1.03E-10
0.216376884,0.000305295
0.243468643,0.016822066
0.164588546,0.069828571
